TABLE_QUALIFIER,TABLE_OWNER,TABLE_NAME,GRANTOR,GRANTEE,PRIVILEGE,IS_GRANTABLE
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,cprsystem,REFERENCES,NO
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,b_Appointment_Type,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,b_Provider_Translation,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,b_Resource,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,b_Resource,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,b_Resource,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,b_Resource,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,b_Resource,dbo,cprsystem,REFERENCES,NO
EncounterPRO_OS,dbo,b_Resource,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,b_Resource,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,b_Resource,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,b_Resource,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,b_Resource,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_1_record,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,c_1_record,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_1_record,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,c_1_record,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_1_record,dbo,cprsystem,REFERENCES,NO
EncounterPRO_OS,dbo,c_1_record,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_1_record,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_1_record,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_1_record,dbo,public,SELECT,NO
EncounterPRO_OS,dbo,c_1_record,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,c_1_record,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Actor_Address,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,c_Actor_Address,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_Actor_Address,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,c_Actor_Address,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_Actor_Address,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_Actor_Address,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_Actor_Address,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_Actor_Address,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,c_Actor_Address,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Actor_Class,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,c_Actor_Class,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_Actor_Class,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,c_Actor_Class,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_Actor_Class,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_Actor_Class,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_Actor_Class,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_Actor_Class,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,c_Actor_Class,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Actor_Class_Purpose,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_Actor_Class_Purpose,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_Actor_Class_Purpose,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_Actor_Class_Purpose,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_Actor_Class_Purpose,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_Actor_Class_Purpose,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,c_Actor_Class_Route,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,c_Actor_Class_Type,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,cprsystem,DELETE,NO
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,c_Actor_Communication,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,dbo,DELETE,YES
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,cprsystem,INSERT,NO
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,dbo,INSERT,YES
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,dbo,REFERENCES,YES
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,cprsystem,SELECT,NO
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,dbo,SELECT,YES
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,cprsystem,UPDATE,NO
EncounterPRO_OS,dbo,c_Actor_Route_Purpose,dbo,dbo,UPDATE,YES
EncounterPRO_OS,dbo,c_Administration_Frequency,dbo,cprsystem,DELETE,NO
