Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
10820,Heligone Kit ,{ 6 (azithromycin 500 MG Oral Tablet) / 28 (amoxicillin 500 MG Oral Capsule) / 14 (omeprazole 20 MG Oral Capsule) } Kit ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10820','Heligone Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10820','Heligone Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG10820','{ 6 (azithromycin 500 MG Oral Tablet) / 28 (amoxicillin 500 MG Oral Capsule) / 14 (omeprazole 20 MG Oral Capsule) } Kit','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10820','No Corresponding SCD RXCUI')"
129,Artesun 30 MG/ML Injection ,artesunate 30 MG/ML Injection ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI129','Artesun 30 MG/ML Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB129','Artesun 30 MG/ML Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG129','artesunate 30 MG/ML Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE129','No Corresponding SCD RXCUI')"
130,Artesun 60 MG Injection ,artesunate 60 MG Injection ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI130','Artesun 60 MG Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB130','Artesun 60 MG Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG130','artesunate 60 MG Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE130','No Corresponding SCD RXCUI')"
1527,Co-Arinate FDC Junior Oral Tablet ,{ 3 (artesunate 100 MG/ sulfamethoxypyrazine 250 MG / pyrimethamine 12.5 MG Oral Tablet) } Pack,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1527','Co-Arinate FDC Junior Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1527','Co-Arinate FDC Junior Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1527','{ 3 (artesunate 100 MG/ sulfamethoxypyrazine 250 MG / pyrimethamine 12.5 MG Oral Tablet) } Pack','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1527','No Corresponding SCD RXCUI')"
1532,Co-Arinate FDC Adult Oral Tablet ,{ 3 (artesunate 200 MG/ sulfamethoxypyrazine 500 MG / pyrimethamine 25 MG Oral Tablet) } Pack,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1532','Co-Arinate FDC Adult Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1532','Co-Arinate FDC Adult Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1532','{ 3 (artesunate 200 MG/ sulfamethoxypyrazine 500 MG / pyrimethamine 25 MG Oral Tablet) } Pack','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1532','No Corresponding SCD RXCUI')"
14086,Niredil 10 MG Transdermal Patch ,24HR nitroglycerine 10 MG Transdermal Patch ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14086','Niredil 10 MG Transdermal Patch',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14086','Niredil 10 MG Transdermal Patch','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14086','24HR nitroglycerine 10 MG Transdermal Patch','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14086','No Corresponding SCD RXCUI')"
14087,Niredil 15 MG Transdermal Patch ,24HR nitroglycerine 15 MG Transdermal Patch ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14087','Niredil 15 MG Transdermal Patch',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14087','Niredil 15 MG Transdermal Patch','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14087','24HR nitroglycerine 15 MG Transdermal Patch','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14087','No Corresponding SCD RXCUI')"
14085,Niredil 5 MG Transdermal Patch ,24HR nitroglycerine 5 MG Transdermal Patch ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14085','Niredil 5 MG Transdermal Patch',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14085','Niredil 5 MG Transdermal Patch','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14085','24HR nitroglycerine 5 MG Transdermal Patch','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14085','No Corresponding SCD RXCUI')"
14713,Esose H.Pylori Kit,7 { 1 (esomeprazole 40 MG Oral Tablet ) / 1 (levofloxacin 500 MG Oral Tablet ) / 2 (amoxicillin 500 MG Oral Capsule ) Morning Pack / 1 (esomeprazole 40 MG Oral Tablet ) / 1 (levofloxacin 500 MG Oral Tablet ) / 2 (amoxicillin 500 MG Oral Capsule ) Evening Pack } Kit,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14713','Esose H.Pylori Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14713','Esose H.Pylori Kit','SBD_KE') ",,###############################################################################################################################################################################################################################################################,"insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14713','No Corresponding SCD RXCUI')"
13462,H-Cure ES Kit,7 { 2 (esomeprazole 40 MG Oral Capsule) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (tinidazole 500 MG Oral Tablet) } Kit,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13462','H-Cure ES Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13462','H-Cure ES Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13462','7 { 2 (esomeprazole 40 MG Oral Capsule) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (tinidazole 500 MG Oral Tablet) } Kit','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13462','No Corresponding SCD RXCUI')"
9106,Nexiken H. Pylori Kit ,7 { 2 (esomeprazole 20 MG Delayed Release Oral Tablet) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (amoxicillin 1000 MG Oral Tablet ) } Kit,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI9106','Nexiken H. Pylori Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB9106','Nexiken H. Pylori Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG9106','7 { 2 (esomeprazole 20 MG Delayed Release Oral Tablet) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (amoxicillin 1000 MG Oral Tablet ) } Kit','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE9106','No Corresponding SCD RXCUI')"
8620,Esclam H. Pylori Kit ,7 { 2 (esomeprazole 20 MG Oral Tablet) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (amoxicillin 1000 MG Oral Tablet) } Kit,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8620','Esclam H. Pylori Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8620','Esclam H. Pylori Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8620','7 { 2 (esomeprazole 20 MG Oral Tablet) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (amoxicillin 1000 MG Oral Tablet) } Kit','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8620','No Corresponding SCD RXCUI')"
5777,Heligo H. Pylori Kit ,7 { 2 (lansoprazole 30 MG Oral Capsule) / 2 (clarithromycin 250 MG Oral Tablet) / 2 (tinidazole 500 MG Oral Tablet) },No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5777','Heligo H. Pylori Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5777','Heligo H. Pylori Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5777','7 { 2 (lansoprazole 30 MG Oral Capsule) / 2 (clarithromycin 250 MG Oral Tablet) / 2 (tinidazole 500 MG Oral Tablet) }','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5777','No Corresponding SCD RXCUI')"
2120,Pylotrip H. Pylori Kit ,7 { 2 (lansoprazole 30 MG Delayed Release Capsule) / 2 (amoxicillin 1000 MG Oral Capsule) / 2 (clarithromycin 500 MG Oral Tablet) },No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2120','Pylotrip H. Pylori Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2120','Pylotrip H. Pylori Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2120','7 { 2 (lansoprazole 30 MG Delayed Release Capsule) / 2 (amoxicillin 1000 MG Oral Capsule) / 2 (clarithromycin 500 MG Oral Tablet) }','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2120','No Corresponding SCD RXCUI')"
8744,Pylodi H. Pylori Kit ,7 { 2 (lansoprazole 30 MG Oral Capsule) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (tinidazole  500 MG Oral Tablet) },No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8744','Pylodi H. Pylori Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8744','Pylodi H. Pylori Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8744','7 { 2 (lansoprazole 30 MG Oral Capsule) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (tinidazole 500 MG Oral Tablet) }','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8744','No Corresponding SCD RXCUI')"
11423,Helicoban Oral Capsules Kit,7 { 2 (omeprazole  20 MG Oral Capsule) / 2 (clarithromycin 250 MG Oral Capsule) / 2 (tinidazole  500 MG Oral Capsule) },No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11423','Helicoban Oral Capsules Kit',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11423','Helicoban Oral Capsules Kit','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11423','7 { 2 (omeprazole 20 MG Oral Capsule) / 2 (clarithromycin 250 MG Oral Capsule) / 2 (tinidazole 500 MG Oral Capsule) }','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11423','No Corresponding SCD RXCUI')"
11828,Acecor P 100/500 Oral Tablet ,aceclofenac 100 MG / paracetamol 500 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11828','Acecor P 100/500 Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11828','Acecor P 100/500 Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11828','aceclofenac 100 MG / paracetamol 500 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11828','No Corresponding SCD RXCUI')"
418,Gacet 1000 MG Rectal Suppository,acetaminophen 1000 MG Rectal Suppository,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI418','Gacet 1000 MG Rectal Suppository',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB418','Gacet 1000 MG Rectal Suppository','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG418','acetaminophen 1000 MG Rectal Suppository','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE418','No Corresponding SCD RXCUI')"
4372,E Mal 150 MG in 2 ML Solution for Injection,alpha-beta arteether 150 MG in 2 ML Solution for Injection ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4372','E Mal 150 MG in 2 ML Solution for Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4372','E Mal 150 MG in 2 ML Solution for Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4372','alpha-beta arteether 150 MG in 2 ML Solution for Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4372','No Corresponding SCD RXCUI')"
10316,Corither AB 75 MG/ML Solution for Injection,alpha-beta arteether 75 MG/ML Solution for Injection,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10316','Corither AB 75 MG/ML Solution for Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10316','Corither AB 75 MG/ML Solution for Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG10316','alpha-beta arteether 75 MG/ML Solution for Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10316','No Corresponding SCD RXCUI')"
11755,Triplixam 5/1.25/10 MG Oral Tablet,amLODIPine 10 MG / indapamide 1.25 MG / perindopril arginine 5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11755','Triplixam 5/1.25/10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11755','Triplixam 5/1.25/10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11755','amLODIPine 10 MG / indapamide 1.25 MG / perindopril arginine 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11755','No Corresponding SCD RXCUI')"
11753,Triplixam 10/2.5/10 MG Oral Tablet,amLODIPine 10 MG / indapamide 2.5 MG / perindopril arginine 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11753','Triplixam 10/2.5/10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11753','Triplixam 10/2.5/10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11753','amLODIPine 10 MG / indapamide 2.5 MG / perindopril arginine 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11753','No Corresponding SCD RXCUI')"
11743,Triplixam 5/1.25/5 MG Oral Tablet ,amLODIPine 5 MG / indapamide 1.25 MG / perindopril arginine 5 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11743','Triplixam 5/1.25/5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11743','Triplixam 5/1.25/5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11743','amLODIPine 5 MG / indapamide 1.25 MG / perindopril arginine 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11743','No Corresponding SCD RXCUI')"
11727,Triplixam 10/2.5/5 MG Oral Tablet ,amLODIPine 5 MG / indapamide 2.5 MG / perindopril arginine 10 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11727','Triplixam 10/2.5/5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11727','Triplixam 10/2.5/5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11727','amLODIPine 5 MG / indapamide 2.5 MG / perindopril arginine 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11727','No Corresponding SCD RXCUI')"
6087,Amlozaar-H  5/50/12.5 MG Oral Tablet,amLODIPine 5 MG / losartan potassium 50 MG / hydrochlorothiazide 12.5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI6087','Amlozaar-H 5/50/12.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB6087','Amlozaar-H 5/50/12.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG6087','amLODIPine 5 MG / losartan potassium 50 MG / hydrochlorothiazide 12.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE6087','No Corresponding SCD RXCUI')"
7644,Carditan AM 50/5 MG Oral Tablet ,amLODIPine 5 MG / losartan potassium 50 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI7644','Carditan AM 50/5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB7644','Carditan AM 50/5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG7644','amLODIPine 5 MG / losartan potassium 50 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE7644','No Corresponding SCD RXCUI')"
8746,Amlocip NB 5/5 MG Oral Tablet,amLODIPine 5 MG / nebivolol 5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8746','Amlocip NB 5/5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8746','Amlocip NB 5/5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8746','amLODIPine 5 MG / nebivolol 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8746','No Corresponding SCD RXCUI')"
11135,Avsar 80 MG / 5 MG Oral Tablet,amLODIPine 5 MG / valsartan 80 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11135','Avsar 80 MG / 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11135','Avsar 80 MG / 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11135','amLODIPine 5 MG / valsartan 80 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11135','No Corresponding SCD RXCUI')"
11751,Coveram 10 MG /10 MG Oral Tablet,amLODIPine besilate 10 MG / perindopril arginine 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11751','Coveram 10 MG /10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11751','Coveram 10 MG /10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11751','amLODIPine besilate 10 MG / perindopril arginine 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11751','No Corresponding SCD RXCUI')"
11752,Coveram 5 MG /10 MG Oral Tablet,amLODIPine besilate 10 MG / perindopril arginine 5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11752','Coveram 5 MG /10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11752','Coveram 5 MG /10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11752','amLODIPine besilate 10 MG / perindopril arginine 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11752','No Corresponding SCD RXCUI')"
227,Amlozaar 50 MG / 5 MG Oral Tablet ,amLODIPine besilate 5 MG / losartan potassium 50 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI227','Amlozaar 50 MG / 5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB227','Amlozaar 50 MG / 5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG227','amLODIPine besilate 5 MG / losartan potassium 50 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE227','No Corresponding SCD RXCUI')"
11748,Coveram 10 MG /5 MG Oral Tablet,amLODIPine besilate 5 MG / perindopril arginine 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11748','Coveram 10 MG /5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11748','Coveram 10 MG /5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11748','amLODIPine besilate 5 MG / perindopril arginine 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11748','No Corresponding SCD RXCUI')"
11744,Coveram 5 MG /5 MG Oral Tablet,amLODIPine besilate 5 MG / perindopril arginine 5 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11744','Coveram 5 MG /5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11744','Coveram 5 MG /5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11744','amLODIPine besilate 5 MG / perindopril arginine 5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11744','No Corresponding SCD RXCUI')"
2166,Amdocal Plus 25 (amLODIPine besilate  5 MG / Atenolol 25 MG Oral Tablet) Oral Tablet,amLODIPine besilate  5 MG / atenolol  25 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2166','Amdocal Plus 25 (amLODIPine besilate 5 MG / Atenolol 25 MG Oral Tablet) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2166','Amdocal Plus 25 (amLODIPine besilate 5 MG / Atenolol 25 MG Oral Tablet) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2166','amLODIPine besilate 5 MG / atenolol 25 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2166','No Corresponding SCD RXCUI')"
